Time (s),ECG_Original (mV),ECG_Filtered (mV),ECG_Denoised (mV)
1.571,192.6007326007326,0.07625806399882373,3.7187558209879565
1.571,195.018315018315,32.484119771933194,23.719948197669538
1.572,192.6007326007326,36.89229470985362,43.40861609264903
1.572,193.40659340659337,88.35337042233692,59.63443436407343
1.572,193.40659340659337,70.71660505186381,57.560006610901226
1.583,0.0,-65.83644485260396,-40.475570742125015
1.583,0.0,-90.68130748142079,-66.82310742197073
1.583,0.0,-57.40257261377173,-57.71354851308175
1.584,0.0,-74.00841709546032,-57.68563510534422
1.584,0.0,-70.84465722655122,-67.1330668073112
1.584,0.0,-85.62348758208171,-68.24071735407577
1.584,30.62271062271062,-67.87455965961635,-43.90652000543094
1.585,150.6959706959707,38.115314478629564,24.676574143603716
1.585,229.67032967032966,96.83252865393753,63.60927672922751
1.585,215.16483516483518,77.28705418128199,71.65417036532335
1.585,212.74725274725276,58.801081334248025,66.02724820972801
1.586,204.68864468864467,51.37409915187791,49.482460491754864
1.586,196.63003663003664,50.5977663264253,44.670429636281696
1.586,191.7948717948718,38.14402849230888,41.44469436752617
1.586,180.5128205128205,69.04079075353309,41.96069701371661
1.587,186.95970695970695,53.974713751009936,36.43502730801083
1.597,0.0,-71.83011410361527,-49.23789229488735
1.598,0.0,-89.09155007230689,-67.92011767536225
1.598,0.0,-42.96001277738206,-51.369921363520575
1.598,0.0,-40.70645819063075,-41.062807540218614
1.598,0.0,-20.219667593224866,-18.846143588941974
1.599,0.0,-8.148374347730737,-4.258185628113457
1.599,0.0,-1.76420257731953,1.6831999368274562
1.599,0.0,7.280503911382702,2.496936475143073
1.599,0.0,8.664990250342829,1.8266470123934941
1.6,0.0,10.959467512249722,1.7573463574972987
1.6,0.0,10.199704383019984,5.971711264439371
1.6,0.0,6.048113479979749,10.585000504805935
1.6,0.0,3.618052224586531,13.476246978064118
1.601,0.0,-5.792134859137472,10.332017074261822
1.601,0.0,-11.98639187416327,-5.6069502626743315
1.601,0.0,-20.92292026625258,-25.224513646477583
1.602,0.0,-39.22903303925175,-36.30628277763707
1.602,0.0,-33.46303841573858,-38.5521423276376
1.602,0.0,-72.7751206697353,-47.41271635831177
1.602,0.0,-45.82647952833911,-39.51591324269793
1.613,193.40659340659337,104.76867625383238,78.42171212012862
1.613,195.8241758241758,129.68311574253593,111.66787003603469
1.613,190.989010989011,118.24621565004321,100.3263134295768
1.614,164.3956043956044,85.27185860957384,51.00016909809555
1.614,0.0,-46.65841160282034,-27.82950946868379
1.614,0.0,-63.59578822968714,-40.06902813595219
1.614,0.0,-28.53927997560893,-32.90161338951124
1.615,0.0,-31.80932833468985,-26.719477543663828
1.615,0.0,-14.367265263625894,-8.393263410126604
1.615,0.0,-7.096318692874332,3.5598779769138247
1.616,0.0,-3.7984374867567734,5.273850691151643
1.616,0.0,2.4261975625000183,1.506787475860187
1.616,0.0,-3.139644640609843,-1.1126596377669327
1.616,0.0,-5.075789124289438,-6.928615342753263
1.617,0.0,-14.52802331928486,-17.522705459290545
1.617,0.0,-33.231202514090995,-32.3779370661991
1.617,0.0,-34.99305069597005,-41.699888885129894
1.617,0.0,-80.1045338587806,-54.76165985853084
1.618,0.0,-66.6962330012552,-39.04660910565593
1.628,187.76556776556774,60.82812929722604,46.23669323527609
1.628,193.40659340659337,79.28432207322115,45.3430682396764
1.629,193.40659340659337,34.47342063349065,32.69445756131792
1.629,193.40659340659337,31.453531066731067,28.37116221424377
1.629,192.6007326007326,12.358881949537171,19.730067976058084
1.63,193.40659340659337,2.233756165249769,5.160268269015159
1.63,193.40659340659337,1.7010215987754833,-6.008935792594055
1.63,195.018315018315,-4.040075720325483,-6.0160476203405855
1.63,190.1831501831502,0.9489104302028295,-0.501750797732237
1.631,193.40659340659337,5.9808431614231985,4.098130073713504
1.631,193.40659340659337,19.321108202929658,11.759336809646356
1.631,195.018315018315,39.21589328863831,21.794018308558094
1.631,193.40659340659337,40.79352332550121,30.928002978162883
1.632,193.40659340659337,83.8260566043577,53.98601352901217
1.632,190.1831501831502,63.80184983935196,62.520042624494444
1.642,0.0,-71.21733867669535,-40.59756235617583
1.643,0.0,-94.49266663786122,-76.08915238421031
1.643,0.0,-58.6561021604614,-65.09512716481674
1.643,0.0,-74.30378840546433,-61.40362863506519
1.643,0.0,-68.3011422118112,-65.2086113800086
1.644,0.0,-80.65523338624931,-61.55307149745791
1.644,0.0,-96.2746364508755,-57.412304126496466
1.644,100.73260073260072,-4.180376433824605,5.89154598872257
1.645,230.47619047619048,98.01383043807445,75.31111206344815
1.645,219.19413919413918,83.6011772591481,70.16403178754709
1.645,216.77655677655676,60.51767662305179,61.645448048446575
1.645,208.71794871794867,50.76963738773746,34.84053386691306
1.646,194.2124542124542,32.98848192442131,26.363593163058454
1.646,191.7948717948718,39.246580867717,30.157252045343412
1.646,186.15384615384613,33.60996300145109,36.781853453329155
1.646,187.76556776556774,70.63060502297975,46.22814978657768
1.647,179.7069597069597,51.05826309928679,25.103853321641157
1.657,0.0,-73.96169642372023,-58.03486853579592
1.657,0.0,-85.47042315169212,-56.50063165677743
1.658,0.0,-41.719706489754856,-41.68524505266998
1.658,0.0,-38.28902944470161,-34.22065407923328
1.658,0.0,-17.551095306743598,-21.868966492070037
1.659,0.0,-6.25358891009591,-3.0064456945058806
1.659,0.0,0.7896464504629428,12.7704611033474
1.659,0.0,8.715789640121793,18.172474246976495
1.659,0.0,9.852507223661352,16.95342365960027
1.66,0.0,11.6136063103893,12.623484525199762
1.66,0.0,8.012341615244027,5.246737513144816
1.66,0.0,5.278235884077222,-4.210232674852468
1.66,0.0,-3.945396599749518,-13.56846459711087
1.661,0.0,-11.127478147588528,-19.993356021174915
1.661,0.0,-22.482230041588238,-25.949331444227912
1.661,0.0,-40.486848557433014,-30.994921181904783
1.662,0.0,-41.23425258288067,-33.184068375640884
1.662,0.0,-79.16696329857999,-46.86202237441513
1.662,0.0,-58.555472600588836,-48.29245275919869
1.673,193.40659340659337,85.24688549782806,59.17629860663181
1.673,196.63003663003664,122.88601021743918,101.58349735550448
1.673,193.40659340659337,77.65769894309973,73.89013717341798
1.673,193.40659340659337,120.87559301578558,103.96458613407243
1.674,192.6007326007326,87.71139310053914,65.12186391960103
1.674,3.2234432234432235,-51.920143348329844,-41.73384788590288
1.674,0.0,-73.64690554823468,-47.25078706471912
1.674,0.0,-36.40039185721239,-37.92662874244282
1.675,0.0,-35.21899874901662,-36.039779153091494
1.675,0.0,-18.46211756366163,-27.574562941065764
1.675,0.0,-10.373893769650767,-10.132317250882794
1.675,0.0,-5.438888346197112,3.2413105370816737
1.676,0.0,-4.472120659853971,-0.821645200521276
1.676,0.0,-7.248931618614504,-11.142928116614458
1.676,0.0,-13.85576434958906,-10.60734981249414
1.677,0.0,-31.683275899195323,-15.842606195134023
1.677,0.0,-32.99722841881822,-37.538485891290975
1.677,0.0,-77.02416631938718,-63.249706588640414
1.677,0.0,-63.41792522894535,-40.1222503555097
1.688,184.54212454212455,60.7665476869779,51.335195373122545
1.688,189.37728937728937,79.62658592586854,45.82631263527914
1.688,193.40659340659337,37.38536821520379,26.422890472904268
1.689,186.15384615384613,28.542488703761517,18.49775781553043
1.689,184.54212454212455,7.428946502616709,10.056101736545813
1.689,188.57142857142856,0.675895059728866,5.422054146242008
1.689,189.37728937728937,0.7625839251066218,3.9708314811138252
1.69,193.40659340659337,-3.247033714551737,-1.444725049502417
1.69,190.989010989011,4.007080296290873,-2.13859652126334
1.69,193.40659340659337,8.302135593905358,11.306605870462326
1.691,190.1831501831502,17.130825051958475,29.00847200081555
1.691,189.37728937728937,36.62556694651257,40.173992696614675
1.691,193.40659340659337,41.179809617522864,44.52751740063345
1.691,188.57142857142856,83.17814622304437,51.356248232000816
1.692,188.57142857142856,63.55786339812975,47.13485495915805
1.702,0.0,-65.65305917543824,-43.24364731729408
1.702,0.0,-89.79416210168941,-68.36679668204279
1.703,0.0,-52.5062951613391,-57.962109482296505
1.703,0.0,-62.18898106488027,-58.20683072112782
1.703,0.0,-65.23493959689601,-57.93706236850487
1.703,0.0,-58.093486435432595,-61.27064925730256
1.704,0.0,-96.6923915830615,-68.59975020511273
1.704,0.0,-80.20393566690444,-62.22215866339451
1.704,198.24175824175825,70.26684882670563,46.393349124393524
1.705,234.50549450549448,112.91461311205812,88.52783914824023
1.705,206.3003663003663,61.07159683364047,66.24494630546744
1.705,209.5238095238095,55.93904622023172,54.39766155520943
1.705,195.8241758241758,43.38449020710244,33.35813626947269
1.706,193.40659340659337,42.29617288021825,27.850202141339224
1.706,192.6007326007326,43.0432817400172,46.97371819141159
1.706,193.40659340659337,76.444526205553,62.01970311629322
1.706,180.5128205128205,51.44766063639272,27.565842243081676
1.717,0.0,-74.9015867919191,-65.00231964772492
1.717,0.0,-86.93892573171838,-54.89977577294281
1.717,0.0,-43.03474876551405,-28.097733828096704
1.718,0.0,-39.63382602384454,-20.21901362953789
1.718,0.0,-18.570486360354682,-13.942208861232096
1.718,0.0,-7.003029604592587,-7.967893407836195
1.718,0.0,0.38361051359562737,-4.515801439863831
1.719,0.0,8.654685379988978,-0.3174871045608875
1.719,0.0,10.051918615897918,3.0838621830275645
1.719,0.0,12.142317207789638,4.243812141106129
1.72,0.0,8.565025558377076,3.1441231067655555
1.72,0.0,6.074602032597149,0.28585581719405734
1.72,0.0,-3.419945549997987,-5.945995240561388
1.72,0.0,-10.835075169325723,-17.749156017932993
1.721,0.0,-22.354460681766952,-30.436122748604483
1.721,0.0,-42.07088157161104,-36.49955885852366
1.721,0.0,-42.05244718700738,-36.11823572237633
1.721,0.0,-83.82163334634504,-43.52530832419352
1.722,0.0,-62.345848098883884,-39.00169891264768
1.732,192.6007326007326,78.34592041905005,67.02660853223065
1.732,199.04761904761904,112.77566234416086,102.40989977568928
1.733,194.2124542124542,78.15741625492035,76.388760413624
1.733,193.40659340659337,92.44297665357887,67.6137594459451
1.733,196.63003663003664,102.23521724501141,62.96894994252361
1.734,129.74358974358975,36.49297594176107,27.155873496774078
1.734,0.0,-63.04157294412839,-40.12601062999701
1.734,0.0,-65.26285852014337,-51.803520811870825
1.734,0.0,-35.71171418969181,-37.87675748974693
1.735,0.0,-33.182688540064404,-15.128435965089515
1.735,0.0,-17.797322192760944,-17.532132551381125
1.735,0.0,-15.521272613849794,-27.690858183830272
1.735,0.0,-14.259908670778554,-24.454830315569954
1.736,0.0,-17.044797630520513,-21.034795719226146
1.736,0.0,-32.95371414457273,-22.193557574592052
1.736,0.0,-33.6447430636627,-24.434181012738527
1.737,0.0,-72.95933464926223,-41.42009810313493
1.737,0.0,-65.50798768312232,-48.46452348275333
1.747,168.42490842490844,51.749531740922066,33.55883051265222
1.748,193.40659340659337,79.97854912296785,67.77790862430297
1.748,188.57142857142856,38.1031408170631,42.080907869662866
1.748,193.40659340659337,32.67777005046689,17.50765591403502
1.748,193.40659340659337,17.411677850034465,12.367617626772965
1.749,193.40659340659337,3.2849397883941585,15.084928912173279
1.749,188.57142857142856,-2.6266200050571555,0.4056214146130806
1.749,192.6007326007326,-6.592625999827604,-11.375783904504223
1.749,193.40659340659337,2.228864077249792,-1.7195612383388243
1.75,193.40659340659337,4.535945606298199,13.893980692003566
1.75,191.7948717948718,15.003815238982531,16.864467960465092
1.75,194.2124542124542,36.89684047991964,23.891503389400953
1.75,193.40659340659337,39.31997297029165,43.656890950707194
1.751,193.40659340659337,85.06854245492067,66.99329903343721
1.751,192.6007326007326,69.0977168610257,37.5073383759248
1.761,0.0,-63.70668385809997,-64.72744799519529
1.762,0.0,-82.73149845068946,-57.74879048842928
1.762,0.0,-41.29367182988469,-36.820568025456986
1.762,0.0,-49.64787404734782,-35.42253484516333
1.763,0.0,-38.58484170233986,-37.548061346577036
1.763,0.0,-43.48736545891832,-40.838077251520396
1.763,0.0,-55.36450595491925,-48.13919820736653
1.763,0.0,-59.643016601137994,-62.27031959715793
1.764,0.0,-91.87859148916056,-65.79582884831161
1.764,58.82783882783882,-27.25824836822266,-3.6105732014940752
1.764,240.95238095238093,111.69023372227505,86.22931856414637
1.764,224.8351648351648,109.15251904427925,83.57324578748867
1.765,216.77655677655676,69.94878861214318,60.66812306224097
1.765,206.3003663003663,77.27648411147288,62.16313627425936
1.765,197.43589743589743,50.388093535302644,61.73726495586284
1.766,193.40659340659337,83.81808925341593,61.04136950067368
1.766,193.40659340659337,62.79893453316649,52.02994966620716
1.776,0.0,-75.04471977333793,-51.54286369567083
1.777,0.0,-91.02437436537889,-72.95659535611335
1.777,0.0,-46.518651305556226,-49.976338271315555
1.777,0.0,-43.90455617552558,-33.62932277851049
1.777,0.0,-22.735057530023916,-27.851409130802825
1.778,0.0,-10.259220475078088,-29.30651126896459
1.778,0.0,-2.7080784152500446,-13.551929985319006
1.778,0.0,7.078927182440573,4.151955149347057
1.778,0.0,9.40484866979259,12.59253685506948
1.779,0.0,12.494424721552527,16.49928694991592
1.779,0.0,12.200797285800808,17.99766863681637
1.779,0.0,8.409142493015445,15.60013481083971
1.78,0.0,5.7721380858929425,8.707974989490822
1.78,0.0,-4.438340143185209,-0.08698122971075146
1.78,0.0,-11.647452290786804,-7.0218918354078514
1.78,0.0,-23.493769788299257,-15.820125421957984
1.781,0.0,-43.87564105873724,-26.69625962304794
1.781,0.0,-43.27532436437607,-36.10274593996484
1.781,0.0,-87.23229008098072,-59.657828533021146
1.781,0.0,-64.58682262602633,-65.07144489521677
1.792,193.40659340659337,74.91199491501897,40.35290168103407
1.792,199.04761904761904,106.48973804589244,82.33304241457965
1.792,197.43589743589743,79.9563242338743,87.15682158020245
1.793,197.43589743589743,82.60934922302782,84.4275167021794
1.793,197.43589743589743,106.70847160338164,78.98279685345447
1.793,185.34798534798534,73.94665192032826,55.036101837878775
1.794,1.6117216117216118,-57.68337418108096,-39.0703896708257
1.794,0.0,-78.61811525124797,-61.17243055165189
1.794,0.0,-36.61271976877947,-49.720622154757606
1.794,0.0,-38.93665031470285,-44.109102964425446
1.795,0.0,-20.985612692711914,-23.322657100767657
1.795,0.0,-17.156666758075858,-11.695502187380146
1.795,0.0,-16.405603897401097,-15.809538664908962
1.795,0.0,-17.335677509977586,-25.532312224593163
1.796,0.0,-33.42383628801633,-25.948959914211844
1.796,0.0,-33.36838751380264,-23.982509953971856
1.796,0.0,-72.62731285310187,-36.405156506240246
1.797,0.0,-64.48440232412469,-40.72894110433216
1.807,167.61904761904762,51.05202127170488,30.55899457636111
1.807,190.989010989011,79.43791155158486,56.51116604008223
1.808,191.7948717948718,40.943247519651536,44.39713573726296
1.808,192.6007326007326,34.06431457967851,27.922458329442158
1.808,190.989010989011,14.550317766340523,7.702787590376728
1.808,189.37728937728937,0.9552116886396895,-5.730046921175672
1.809,190.989010989011,-0.11090215330342801,-8.05833270357295
1.809,193.40659340659337,-5.28124398280341,-3.8715532536976616
1.809,190.989010989011,0.7339831784834203,-0.7011606566240297
1.809,193.40659340659337,3.9808279799385033,5.798904041176405
1.81,188.57142857142856,12.925412158538583,16.833660617191207
1.81,192.6007326007326,34.71045399599178,32.51305811699915
1.81,191.7948717948718,38.48634752394392,43.87701598364813
1.811,193.40659340659337,85.41256200427384,58.98747655755647
1.811,193.40659340659337,70.74110730043442,42.81423813900703
1.821,0.0,-61.82181442671164,-46.19506146928772
1.822,0.0,-80.51286324360814,-44.34597470148358
1.822,0.0,-37.37686746387597,-32.50627494058698
1.822,0.0,-44.25432094995082,-34.11840431536446
1.822,0.0,-32.66881894150103,-35.11452988209013
1.823,0.0,-33.39973210570313,-28.44260383920533
1.823,0.0,-48.16915174855577,-30.518135905277276
1.823,0.0,-46.588347462047324,-52.624348939091604
1.823,0.0,-82.61453091772063,-73.8206133294935
1.824,0.0,-77.51072537961383,-59.45352995031553
1.824,167.61904761904762,49.71682807066419,36.20063263235647
1.824,234.50549450549448,117.11477169039338,77.49864433713955
1.825,215.16483516483518,77.34162033826377,59.171795330648166
1.825,210.3296703296703,64.6873636622195,62.707605089951926
1.825,201.46520146520143,65.53390563767937,57.7092597493535
1.825,197.43589743589743,46.418401702970456,60.844089472423924
1.826,186.15384615384613,76.98412215661052,65.86985608582788
1.826,186.15384615384613,53.78147251540861,30.669266461210736
1.836,0.0,-73.32392560220205,-64.1477159721325
1.837,0.0,-89.65424783109749,-56.56667730899468
1.837,0.0,-44.61030075186292,-32.55819851504248
1.837,0.0,-41.39513125093039,-24.89479286471096
1.837,0.0,-20.51951191813943,-17.60304867883471
1.838,0.0,-8.026074829000578,-10.115864799226712
1.838,0.0,-0.6186430862604233,-4.733972723858963
1.838,0.0,8.408388201310567,1.1178712702236608
1.839,0.0,10.152716108528242,6.447041697731462
1.839,0.0,12.681805077054541,10.421176969819701
1.839,0.0,9.421897506829158,11.935080886045311
1.839,0.0,7.067521606623073,11.090296131633826
1.84,0.0,-2.423244711430158,4.62881603372128
1.84,0.0,-10.197510379546411,-11.687412796043068
1.84,0.0,-22.180897979755883,-30.884752480778875
1.84,0.0,-43.08283136183646,-43.76067843029051
1.841,0.0,-44.18655287826106,-48.94828458888594
1.841,0.0,-88.00258721889631,-57.323056994594545
1.841,0.0,-68.86079789938215,-52.716588613350275
1.852,195.018315018315,72.17580781821417,51.00583408760157
1.852,199.04761904761904,100.25686212791828,80.5893700714201
1.852,199.04761904761904,68.45163279071309,72.68285845025258
1.852,195.8241758241758,79.36178402805608,66.51790222160696
1.853,199.04761904761904,80.11671645962905,69.36127278333988
1.853,194.2124542124542,90.62168935055843,64.71677734485856
1.853,120.87912087912088,24.34037038508003,5.2727127694228555
1.854,0.0,-70.54958057377151,-53.67028245223801
1.854,0.0,-64.58756882600046,-51.8494362968842
1.854,0.0,-40.48633883298197,-31.60255010815934
1.854,0.0,-33.17348296159984,-31.094393157572128
1.855,0.0,-23.986524597091822,-32.20176720416974
1.855,0.0,-19.778063286325523,-25.025188227924875
1.855,0.0,-22.32455256194348,-20.133511642026875
1.855,0.0,-34.47022278813773,-20.60394275603915
1.856,0.0,-34.040825702943096,-22.932236609798533
1.856,0.0,-74.56187590434126,-39.027368917203546
1.856,0.0,-61.13548841875568,-46.23973516919778
1.867,176.48351648351647,56.59188126846036,37.514623747224945
1.867,182.93040293040292,76.14209704773133,64.0759191378456
1.867,193.40659340659337,40.01015912509598,43.44704929993232
1.868,188.57142857142856,32.81272244044569,15.164716962579654
1.868,189.37728937728937,12.754813910976972,10.880007676120547
1.868,193.40659340659337,5.301049381917313,13.839270134917832
1.868,191.7948717948718,1.4078635723266686,-0.47728588022176643
1.869,193.40659340659337,-5.143154322697601,-12.394174822812994
1.869,190.989010989011,0.08761150681490193,-4.217382533250124
1.869,193.40659340659337,5.641298629661502,9.446181195363891
1.869,192.6007326007326,14.720938050137104,9.73580882916968
1.87,185.34798534798534,29.850732634887077,15.54562805408252
1.87,193.40659340659337,38.26750225417783,42.446092350839194
1.87,193.40659340659337,86.7062532384252,70.67162190766105
1.871,190.1831501831502,67.56797479459607,41.11340698105407
1.881,0.0,-61.67052476190516,-54.66902600207351
1.881,0.0,-78.83998454301161,-45.55830750459149
1.882,0.0,-37.16034520647398,-22.126281573042
1.882,0.0,-41.32247636750822,-18.502300024041354
1.882,0.0,-30.997205158365375,-19.78538780388468
